ID,genre,situation_academique,domaine_etude,a_deja_vecu_kot,region_domicile,classement_zone_preferee,destination_ideale,lien_destination
"76,Femme,Master,""Sciences politiques, sociales, economiques, de communication"",Oui,Periurbaine,Europe occidentale,,"
78,Homme,Bac,Sciences,Non,Urbaine,Oceanie,,
79,Homme,Je ne suis plus aux etudes,Informatique,Non,Periurbaine,Europe occidentale,,
80,Homme,Je ne suis plus aux etudes,Sciences de l'education,Non,Urbaine,Scandinavie (Pays du nord de l'Europe),,
82,Femme,Bac,Autre / Je ne suis pas concerne,Oui,Periurbaine,Europe occidentale,,
83,Homme,Bac,Sciences,Oui,Rurale,Scandinavie (Pays du nord de l'Europe),Oslo,Non
"84,Femme,Je ne suis plus aux etudes,""Sciences politiques, sociales, economiques, de communication"",Non,Rurale,Scandinavie (Pays du nord de l'Europe),,"
"85,Femme,Secondaires,""Sciences politiques, sociales, economiques, de communication"",Non,Rurale,Asie de l'Est,,"
86,Homme,Je ne suis plus aux etudes,Ingenieur civil / industriel,Oui,Urbaine,Asie de l'Est,,
87,Homme,Master,Sciences,Non,Urbaine,Oceanie,Valencia,Non
90,Homme,Master,Ingenieur civil / industriel,Oui,Urbaine,Europe de l'Est,Afrique du sud,Oui
93,Femme,Je ne suis plus aux etudes,Sciences de la sante (Medecine / dentisterie / kinesiterapeute / ...),Oui,Urbaine,Amerique du Nord (US et Canada),,
94,Femme,Je ne suis plus aux etudes,Sciences,Oui,Urbaine,Oceanie,,
95,Homme,Master,Psychologie,Oui,Periurbaine,Asie (centrale/ du Sud),,
99,Femme,Master,Sciences de la sante (Medecine / dentisterie / kinesiterapeute / ...),Oui,Urbaine,Scandinavie (Pays du nord de l'Europe),,
102,Homme,Je ne suis plus aux etudes,Ingenieur civil / industriel,Oui,Urbaine,Scandinavie (Pays du nord de l'Europe),,
105,Femme,Secondaires,Autre / Je ne suis pas concerne,Non,Periurbaine,Oceanie,,
106,Homme,Je ne suis plus aux etudes,Ingenieur civil / industriel,Oui,Periurbaine,Amerique latine,Argentine,Non
"109,Femme,Master,""Philosophie, arts et lettres"",Oui,Urbaine,Europe occidentale,,"
110,Femme,Bac,Gestion (ingenieur),Non,Periurbaine,Asie de l'Est,Coree du Sud et Japon ,Non
"111,Femme,Je ne suis plus aux etudes,""Sciences politiques, sociales, economiques, de communication"",Oui,Periurbaine,Amerique latine,,"
